FacilityId,County,Place,Class,FacilityName,ReportedDate,ReportingYear,TotalServiceConnections,WholesaleConnections,RetailConnections,ServicesLead,ServicesUnknownMaterial,ServicesCopperLeadSolder,ServicesGalvanized,ServicesUnknownNotLead,ServicesCopperNonLeadSolder,ServicesCastDuctileIronTransite,ServicesPlastic
IL2030150,Woodford,El Paso,city,El Paso (PWS),5/5/19 15:01,2018,1171,0,1171,0,51,0,0,0,1100,0,20
IL0890300,Kane,Elburn,village,Elburn (PWS),5/7/19 11:44,2018,2254,0,2254,1,23,0,0,0,2229,0,1
IL1655030,Saline,Eldorado,city,Eldorado (PWS),3/14/19 10:09,2018,1993,0,1993,0,1613,0,0,0,250,0,130
IL0610100,Greene,Eldred,village,Eldred (PWS),4/11/19 18:21,2018,132,0,132,0,47,0,0,0,73,0,12
IL0894380,Kane,Elgin,city,Elgin - Mclean St (PWS),4/12/19 17:04,2018,33179,12,33167,11035,7451,0,2,0,14493,198,0
IL0850150,Jo Daviess,Elizabeth,village,Elizabeth (PWS),3/21/19 7:32,2018,402,0,402,0,347,35,0,0,0,2,18
IL0690100,Hardin,Elizabethtown,village,Elizabethtown (PWS),4/1/19 10:39,2018,189,0,189,0,58,0,42,0,74,0,15
IL0314400,Cook,Elk Grove Village,village,Elk Grove Village (PWS),5/2/19 14:04,2018,12535,0,12535,0,0,0,0,216,12319,0,0
IL1070150,Logan,Elkhart,village,Elkhart (PWS),4/9/19 14:16,2018,250,0,250,0,250,0,0,0,0,0,0
IL0770300,Jackson,Elkville,village,Elkville (PWS),4/1/19 10:40,2018,475,0,475,0,265,0,0,0,0,0,210
IL0530050,Ford,Elliott,village,Elliott (PWS),4/16/19 17:59,2018,140,0,140,0,40,35,50,0,10,0,5
IL1570200,Randolph,Ellis Grove,village,Ellis Grove (PWS),4/15/19 9:04,2018,274,0,274,0,0,0,0,274,0,0,0
IL1130550,McLean,Ellsworth,village,Ellsworth (PWS),6/3/19 10:22,2018,97,0,97,0,0,0,0,0,97,0,0
IL1430300,Peoria,Elmwood,city,Elmwood (PWS),4/4/19 9:32,2018,833,0,833,9,0,110,98,431,66,0,119
IL0310780,Cook,Elmwood Park,village,Elmwood Park (PWS),4/10/19 16:19,2018,6515,0,6515,6399,0,0,25,0,91,0,0
IL0670010,Hancock,Elvaston,village,Elvaston (PWS),3/26/19 14:43,2018,85,0,85,0,27,0,0,0,1,0,57
IL1970350,Will,Elwood,village,Elwood (PWS),4/29/19 8:51,2018,985,0,985,0,20,0,0,0,965,0,0
IL1070200,Logan,Emden,village,Emden (PWS),3/19/19 17:43,2018,244,0,244,0,0,0,0,0,233,0,11
IL1050300,Livingston,Emington,village,Emington (PWS),3/14/19 9:53,2018,45,0,45,0,0,0,0,0,0,0,45
IL1990350,Williamson,Energy,village,Energy (PWS),3/24/19 9:09,2018,549,0,549,0,0,0,0,0,531,0,18
IL1930200,White,Enfield,village,Enfield (PWS),4/9/19 9:50,2018,799,0,799,0,656,0,0,0,0,0,143
IL0590050,Gallatin,Equality,village,Equality-Wtp (PWS),3/29/19 10:15,2018,416,0,416,0,281,0,0,0,50,0,85
IL1950200,Whiteside,Erie,village,Erie (PWS),4/10/19 10:33,2018,503,0,503,5,0,0,15,0,470,0,13
IL2030200,Woodford,Eureka,city,Eureka-Wtp (PWS),4/4/19 9:46,2018,2125,0,2125,61,100,106,465,531,612,0,250
