"FacilityId","County","FacilityName","ReportedDate","ReportingYear","TotalServiceConnections","WholesaleConnections","RetailConnections","ServicesLead","ServicesUnknownMaterial","ServicesCopperLeadSolder","ServicesGalvanized","ServicesUnknownNotLead","ServicesCopperNonLeadSolder","ServicesCastDuctileIronTransite","ServicesPlastic"
"IL0195100","Champaign","Penfield Pwd (PWS)","5/18/2020 4:02:14 PM","2019","85","0","85","0","85","0","0","0","0","0","0"
"IL0815100","Jefferson","Dix-Kell Water Commssion (PWS)","5/18/2020 3:33:03 PM","2019","713","0","713","0","0","0","0","0","528","0","185"
"IL0890800","Kane","South Elgin (PWS)","5/18/2020 1:50:13 PM","2019","8064","0","8064","1","0","2133","28","0","5657","242","3"
"IL0230150","Clark","Martinsville (PWS)","5/18/2020 1:09:16 PM","2019","586","0","586","0","293","0","0","0","234","0","59"
"IL0230200","Clark","Westfield (PWS)","5/18/2020 12:00:00 AM","2019","326","0","326","0","130","0","2","0","5","0","189"
"IL1730300","Shelby","Shelbyville (PWS)","5/15/2020 11:54:33 AM","2019","3480","3480","0","0","1229","0","1095","0","600","0","556"
"IL0111100","Bureau","Walnut (PWS)","5/14/2020 8:28:23 PM","2019","633","0","633","0","633","0","0","0","0","0","0"
"IL0110800","Bureau","Ohio (PWS)","5/14/2020 8:27:02 PM","2019","227","0","227","0","227","0","0","0","0","0","0"
"IL0110350","Bureau","Dover (PWS)","5/14/2020 8:25:34 PM","2019","65","2","63","0","65","0","0","0","0","0","0"
"IL0710300","Henderson","Oquawka (PWS)","5/14/2020 3:31:39 PM","2019","700","0","700","0","0","0","233","0","233","0","234"
"IL1030250","Lee","Franklin Grove (PWS)","5/14/2020 1:20:40 PM","2019","371","0","371","0","120","0","100","0","100","0","51"
"IL1635050","St. Clair","Mound Pwd (PWS)","5/12/2020 2:19:42 PM","2019","518","0","518","0","41","305","13","0","0","0","159"
"IL0950550","Knox","Victoria (PWS)","5/11/2020 4:57:36 PM","2019","171","0","171","0","0","0","0","0","160","0","11"
"IL1750100","Stark","La Fayette (PWS)","5/11/2020 4:55:57 PM","2019","71","0","71","0","1","0","0","0","65","0","5"
