GEOID,NAME,total,total_hispanic,total_hispanic_perc,mexican,mexican_perc,PR,PR_perc,cuban,cuban_perc,hispanic_other,hispanic_other_perc,total_nothisp,total_nothisp_perc,white,white_perc,black,black_perc,native,native_perc,asian,asian_perc,PI,PI_perc
1600000US1708524,"Brocton village, Illinois",383,16,4.2,4,1,0,0,0,0,12,3.1,367,95.8,356,93,0,0,0,0,0,0,0,0
1600000US1708576,"Brookfield village, Illinois",18858,4319,22.9,3511,18.6,321,1.7,163,0.9,324,1.7,14539,77.1,12941,68.6,1012,5.4,72,0.4,351,1.9,0,0
1600000US1708667,"Brooklyn village, Illinois",469,4,0.9,4,0.9,0,0,0,0,0,0,465,99.1,16,3.4,449,95.7,0,0,0,0,0,0
1600000US1708706,"Brookport city, Illinois",882,13,1.5,0,0,0,0,0,0,13,1.5,869,98.5,738,83.7,111,12.6,0,0,2,0.2,0,0
1600000US1708875,"Broughton village, Illinois",144,0,0,0,0,0,0,0,0,0,0,144,100,144,100,0,0,0,0,0,0,0,0
1600000US1708953,"Browning village, Illinois",130,0,0,0,0,0,0,0,0,0,0,130,100,130,100,0,0,0,0,0,0,0,0
1600000US1708979,"Browns village, Illinois",129,0,0,0,0,0,0,0,0,0,0,129,100,127,98.4,0,0,0,0,0,0,0,0
1600000US1708992,"Brownstown village, Illinois",933,0,0,0,0,0,0,0,0,0,0,933,100,921,98.7,0,0,0,0,0,0,0,0
1600000US1709148,"Brussels village, Illinois",154,0,0,0,0,0,0,0,0,0,0,154,100,154,100,0,0,0,0,0,0,0,0
1600000US1709161,"Bryant village, Illinois",230,0,0,0,0,0,0,0,0,0,0,230,100,220,95.7,0,0,0,0,0,0,0,0
1600000US1709304,"Buckingham village, Illinois",254,15,5.9,15,5.9,0,0,0,0,0,0,239,94.1,233,91.7,0,0,0,0,4,1.6,0,0
1600000US1709317,"Buckley village, Illinois",539,32,5.9,32,5.9,0,0,0,0,0,0,507,94.1,500,92.8,7,1.3,0,0,0,0,0,0
1600000US1709330,"Buckner village, Illinois",422,3,0.7,0,0,0,0,0,0,3,0.7,419,99.3,408,96.7,0,0,0,0,0,0,0,0
1600000US1709356,"Buda village, Illinois",641,0,0,0,0,0,0,0,0,0,0,641,100,611,95.3,0,0,0,0,30,4.7,0,0
1600000US1709434,"Buffalo village, Illinois",560,2,0.4,2,0.4,0,0,0,0,0,0,558,99.6,547,97.7,0,0,0,0,6,1.1,0,0
1600000US1709447,"Buffalo Grove village, Illinois",41329,2260,5.5,1796,4.3,165,0.4,37,0.1,262,0.6,39069,94.5,28372,68.6,986,2.4,56,0.1,8955,21.7,16,0
1600000US1709531,"Bull Valley village, Illinois",1267,121,9.6,91,7.2,12,0.9,11,0.9,7,0.6,1146,90.4,1077,85,16,1.3,0,0,30,2.4,0,0
1600000US1709538,"Bulpitt village, Illinois",199,6,3,6,3,0,0,0,0,0,0,193,97,193,97,0,0,0,0,0,0,0,0
1600000US1709551,"Buncombe village, Illinois",173,7,4,0,0,7,4,0,0,0,0,166,96,163,94.2,0,0,0,0,2,1.2,0,0
1600000US1709577,"Bunker Hill city, Illinois",1684,58,3.4,55,3.3,0,0,0,0,3,0.2,1626,96.6,1602,95.1,9,0.5,0,0,0,0,0,0
1600000US1709642,"Burbank city, Illinois",28947,8983,31,7619,26.3,890,3.1,4,0,470,1.6,19964,69,18316,63.3,791,2.7,49,0.2,438,1.5,0,0
1600000US1709681,"Bureau Junction village, Illinois",213,1,0.5,1,0.5,0,0,0,0,0,0,212,99.5,211,99.1,0,0,0,0,0,0,0,0
1600000US1709759,"Burlington village, Illinois",668,26,3.9,26,3.9,0,0,0,0,0,0,642,96.1,639,95.7,0,0,0,0,0,0,0,0
1600000US1709798,"Burnham village, Illinois",4189,1023,24.4,933,22.3,85,2,0,0,5,0.1,3166,75.6,614,14.7,2527,60.3,0,0,0,0,0,0
1600000US1709889,"Burnt Prairie village, Illinois",58,0,0,0,0,0,0,0,0,0,0,58,100,57,98.3,0,0,0,0,0,0,0,0
1600000US1709980,"Burr Ridge village, Illinois",10795,439,4.1,161,1.5,31,0.3,0,0,247,2.3,10356,95.9,8326,77.1,156,1.4,0,0,1740,16.1,0,0
1600000US1710084,"Bush village, Illinois",250,1,0.4,1,0.4,0,0,0,0,0,0,249,99.6,249,99.6,0,0,0,0,0,0,0,0
1600000US1710110,"Bushnell city, Illinois",2776,0,0,0,0,0,0,0,0,0,0,2776,100,2723,98.1,31,1.1,4,0.1,14,0.5,0,0
1600000US1710149,"Butler village, Illinois",202,0,0,0,0,0,0,0,0,0,0,202,100,202,100,0,0,0,0,0,0,0,0
1600000US1710240,"Byron city, Illinois",3608,289,8,289,8,0,0,0,0,0,0,3319,92,3155,87.4,42,1.2,0,0,20,0.6,0,0
1600000US1710292,"Cabery village, Illinois",259,15,5.8,15,5.8,0,0,0,0,0,0,244,94.2,242,93.4,0,0,2,0.8,0,0,0,0
