GEOID,NAME,total,onerace_white,onerace_white_perc,onerace_black,onerace_black_perc
1600000US1746695,"Maquon village, Illinois",280,280,100,0,0
1600000US1746786,"Marengo city, Illinois",8175,7738,94.7,132,1.6
1600000US1746825,"Marietta village, Illinois",101,74,73.3,26,25.7
1600000US1746864,"Marine village, Illinois",947,920,97.1,0,0
1600000US1746916,"Marion city, Illinois",17646,15430,87.4,1258,7.1
1600000US1746955,"Marissa village, Illinois",1641,1622,98.8,5,0.3
1600000US1746981,"Mark village, Illinois",544,544,100,0,0
1600000US1747007,"Markham city, Illinois",12600,1831,14.5,10119,80.3
1600000US1747072,"Maroa city, Illinois",1674,1452,86.7,11,0.7
1600000US1747111,"Marquette Heights city, Illinois",2553,2455,96.2,12,0.5
1600000US1747150,"Marseilles city, Illinois",5088,4938,97.1,24,0.5
1600000US1747163,"Marshall city, Illinois",3401,3334,98,25,0.7
1600000US1747254,"Martinsville city, Illinois",1289,1229,95.3,0,0
1600000US1747280,"Martinton village, Illinois",356,333,93.5,8,2.2
1600000US1747397,"Maryville village, Illinois",7955,7272,91.4,308,3.9
1600000US1747423,"Mascoutah city, Illinois",8007,7187,89.8,338,4.2
1600000US1747449,"Mason town, Illinois",302,295,97.7,0,0
1600000US1747475,"Mason City city, Illinois",2364,2293,97,50,2.1
1600000US1747527,"Matherville village, Illinois",923,903,97.8,0,0
1600000US1747540,"Matteson village, Illinois",19336,2734,14.1,15625,80.8
1600000US1747553,"Mattoon city, Illinois",17597,16954,96.3,357,2
1600000US1747592,"Maunie village, Illinois",175,175,100,0,0
1600000US1747774,"Maywood village, Illinois",23810,3665,15.4,16255,68.3
1600000US1747787,"Mazon village, Illinois",1002,993,99.1,0,0
1600000US1748021,"Mechanicsburg village, Illinois",729,717,98.4,3,0.4
1600000US1748073,"Media village, Illinois",104,101,97.1,0,0
1600000US1748138,"Medora village, Illinois",410,407,99.3,0,0
1600000US1748242,"Melrose Park village, Illinois",25311,14755,58.3,1537,6.1
1600000US1748268,"Melvin village, Illinois",516,497,96.3,0,0
1600000US1748307,"Mendon village, Illinois",915,913,99.8,2,0.2
